name,URI,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_info,artist_name,artist_pop,album,track_pop,playlistname,mood,language,category,dc0,dc1,dc2,dc3
Saami Saami,spotify:track:4ZUxhQNRCzlh6alqBHPNRC,0.807,0.773,5,-6.885,0.278,0.359,0.00217,0.303,0.867,139.816,223961,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2oLVeyUyYNFELwC93iZWGG'}, 'followers': {'href': None, 'total': 7581}, 'genres': [], 'href': 'https://api.spotify.com/v1/artists/2oLVeyUyYNFELwC93iZWGG', 'id': '2oLVeyUyYNFELwC93iZWGG', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e18f5e67cb35929c38ac2c42', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02e18f5e67cb35929c38ac2c42', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851e18f5e67cb35929c38ac2c42', 'width': 64}], 'name': 'Mounika Yadav', 'popularity': 47, 'type': 'artist', 'uri': 'spotify:artist:2oLVeyUyYNFELwC93iZWGG'}",Mounika Yadav,47,Pushpa - The Rise,66,Telugu Romance,Romance,te,0,4.6415340134056375,53.04535094006573,30.023997877940523,31.71491713331096
Kalaavathi,spotify:track:0hNPo5brQ2MLlrdVKZfHK9,0.392,0.574,5,-5.744,0.0336,0.627,0.0,0.532,0.446,65.528,242322,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN'}, 'followers': {'href': None, 'total': 3960733}, 'genres': ['filmi', 'tamil pop'], 'href': 'https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN', 'id': '2FgHPfRprDaylrSRVf1UlN', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd8ee48716280f5ad1b1c06d7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d8ee48716280f5ad1b1c06d7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d8ee48716280f5ad1b1c06d7', 'width': 160}], 'name': 'Thaman S', 'popularity': 67, 'type': 'artist', 'uri': 'spotify:artist:2FgHPfRprDaylrSRVf1UlN'}",Thaman S,67,Kalaavathi - Sarkaru Vaari Paata,71,Telugu Romance,Romance,te,1,69.68010580577857,21.31191763185605,44.28000211627307,106.0079323341647
Baguntundhi Nuvvu Navvithe,spotify:track:1eWooUUh7E796VP86o15BN,0.76,0.443,6,-9.128,0.0426,0.504,0.000797,0.0957,0.632,123.959,222581,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5ds7YHzRIeaGrAKGPR62fA'}, 'followers': {'href': None, 'total': 55409}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/5ds7YHzRIeaGrAKGPR62fA', 'id': '5ds7YHzRIeaGrAKGPR62fA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27349ed5816027be7d0db65c1b6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0249ed5816027be7d0db65c1b6', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485149ed5816027be7d0db65c1b6', 'width': 64}], 'name': 'Shekar Chandra', 'popularity': 50, 'type': 'artist', 'uri': 'spotify:artist:5ds7YHzRIeaGrAKGPR62fA'}",Shekar Chandra,50,Atithi Devobhava (Original Motion Picture Soundtrack),60,Telugu Romance,Romance,te,0,11.429506951572206,37.225987599059195,14.370372745254832,47.61083799615779
"Ee Raathale (From ""Radhe Shyam"")",spotify:track:50RcuWjfUcoJfWMNegXF0b,0.63,0.528,9,-8.574,0.0311,0.0284,2.63e-06,0.107,0.551,124.0,232763,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6AiX12wXdXFoGJ2vk8zBjy'}, 'followers': {'href': None, 'total': 5893260}, 'genres': ['filmi', 'kollywood', 'tamil pop'], 'href': 'https://api.spotify.com/v1/artists/6AiX12wXdXFoGJ2vk8zBjy', 'id': '6AiX12wXdXFoGJ2vk8zBjy', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb7249dd34afa1c09e205260f4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051747249dd34afa1c09e205260f4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1787249dd34afa1c09e205260f4', 'width': 160}], 'name': 'Yuvan Shankar Raja', 'popularity': 70, 'type': 'artist', 'uri': 'spotify:artist:6AiX12wXdXFoGJ2vk8zBjy'}",Yuvan Shankar Raja,70,"Ee Raathale (From ""Radhe Shyam"")",65,Telugu Romance,Romance,te,0,11.304074761265099,37.2465932543575,14.330224525033927,47.550517256893315
Srivalli,spotify:track:2YmXGUx32C3CUEgcAyHcGf,0.82,0.581,4,-5.655,0.0438,0.494,0.0,0.362,0.681,106.965,221000,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/5sSzCxHtgL82pYDvx2QyEU'}, 'followers': {'href': None, 'total': 5130584}, 'genres': ['filmi', 'tollywood'], 'href': 'https://api.spotify.com/v1/artists/5sSzCxHtgL82pYDvx2QyEU', 'id': '5sSzCxHtgL82pYDvx2QyEU', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebae16bbb67ebe5b65d00875b5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174ae16bbb67ebe5b65d00875b5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178ae16bbb67ebe5b65d00875b5', 'width': 160}], 'name': 'Devi Sri Prasad', 'popularity': 68, 'type': 'artist', 'uri': 'spotify:artist:5sSzCxHtgL82pYDvx2QyEU'}",Devi Sri Prasad,68,Pushpa - The Rise,67,Telugu Romance,Romance,te,2,28.26526303793714,20.2653153961699,3.033985676787775,64.57914574743782
Leharaayi,spotify:track:6DFXFqK5PTGqTzTbdj47uV,0.78,0.608,0,-7.62,0.061,0.245,4.14e-05,0.0947,0.476,91.975,245093,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/7qjJw7ZM2ekDSahLXPjIlN'}, 'followers': {'href': None, 'total': 6475671}, 'genres': ['filmi'], 'href': 'https://api.spotify.com/v1/artists/7qjJw7ZM2ekDSahLXPjIlN', 'id': '7qjJw7ZM2ekDSahLXPjIlN', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb583f76654d7e8d4b1a9cce7', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b583f76654d7e8d4b1a9cce7', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b583f76654d7e8d4b1a9cce7', 'width': 160}], 'name': 'Sid Sriram', 'popularity': 73, 'type': 'artist', 'uri': 'spotify:artist:7qjJw7ZM2ekDSahLXPjIlN'}",Sid Sriram,73,Most Eligible Bachelor,61,Telugu Romance,Romance,te,1,43.223930760883654,5.213068056968118,17.843111237510943,79.5536745617546
Guruvaram,spotify:track:6Mams2ZPHqDzPyQD1eM5x0,0.808,0.717,0,-7.768,0.129,0.609,2.42e-06,0.0925,0.821,97.001,216171,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4iA6bUhiZyvRKJf4FNVX39'}, 'followers': {'href': None, 'total': 2232823}, 'genres': ['filmi'], 'href': 'https://api.spotify.com/v1/artists/4iA6bUhiZyvRKJf4FNVX39', 'id': '4iA6bUhiZyvRKJf4FNVX39', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdd9861f139278c57ca97f0be', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174dd9861f139278c57ca97f0be', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178dd9861f139278c57ca97f0be', 'width': 160}], 'name': 'Vijay Prakash', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:4iA6bUhiZyvRKJf4FNVX39'}",Vijay Prakash,62,Kirrak Party (Original Motion Picture Soundtrack),0,Telugu Romance,Romance,te,1,38.20225106228184,10.241582743042978,12.84145556620205,74.52956152807711
Nee Chitram Choosi,spotify:track:5PsmOImV4eJxcTK8ZxSPJz,0.562,0.516,11,-5.746,0.0266,0.289,0.0,0.136,0.279,133.875,263506,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/6LWyVEIBnx7MoRBhQxu9om'}, 'followers': {'href': None, 'total': 440305}, 'genres': ['tollywood'], 'href': 'https://api.spotify.com/v1/artists/6LWyVEIBnx7MoRBhQxu9om', 'id': '6LWyVEIBnx7MoRBhQxu9om', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb439ae2d0bb4ac04b74af8421', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174439ae2d0bb4ac04b74af8421', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178439ae2d0bb4ac04b74af8421', 'width': 160}], 'name': 'Anurag Kulkarni', 'popularity': 62, 'type': 'artist', 'uri': 'spotify:artist:6LWyVEIBnx7MoRBhQxu9om'}",Anurag Kulkarni,62,Love Story,57,Telugu Romance,Romance,te,0,1.8913444914009165,47.12925432201002,24.103558100246392,37.678301572578334
Emannavoo,spotify:track:36ylvIx1fVaM4i5pux7Ea1,0.457,0.542,5,-7.645,0.0575,0.408,0.0,0.127,0.652,109.973,214766,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/4zCH9qm4R2DADamUHMCa6O'}, 'followers': {'href': None, 'total': 10117804}, 'genres': ['desi hip hop', 'filmi', 'tamil hip hop'], 'href': 'https://api.spotify.com/v1/artists/4zCH9qm4R2DADamUHMCa6O', 'id': '4zCH9qm4R2DADamUHMCa6O', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb53defb703e917e62b55ee8ed', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517453defb703e917e62b55ee8ed', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17853defb703e917e62b55ee8ed', 'width': 160}], 'name': 'Anirudh Ravichander', 'popularity': 80, 'type': 'artist', 'uri': 'spotify:artist:4zCH9qm4R2DADamUHMCa6O'}",Anirudh Ravichander,80,Nava Manmadhudu (Original Motion Picture Soundtrack),53,Telugu Romance,Romance,te,2,25.22992911458185,23.200328622862163,0.9909377191262703,61.555984781025714
Love Me Again,spotify:track:0aygY9LqK1bCqyKK1bOsio,0.713,0.911,0,-2.741,0.0564,0.0437,5.64e-05,0.107,0.663,123.941,246735,"{'external_urls': {'spotify': 'https://open.spotify.com/artist/66PGnr0hE7ZIcWir6IwitB'}, 'followers': {'href': None, 'total': 177543}, 'genres': ['filmi', 'tamil pop', 'tollywood'], 'href': 'https://api.spotify.com/v1/artists/66PGnr0hE7ZIcWir6IwitB', 'id': '66PGnr0hE7ZIcWir6IwitB', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb1bd321ac4d233a1a6438589c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051741bd321ac4d233a1a6438589c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1781bd321ac4d233a1a6438589c', 'width': 160}], 'name': 'Sooraj Santhosh', 'popularity': 54, 'type': 'artist', 'uri': 'spotify:artist:66PGnr0hE7ZIcWir6IwitB'}",Sooraj Santhosh,54,Nannaku Prematho (Original Motion Picture Soundtrack),25,Telugu Romance,Romance,te,0,12.058497583096385,37.45791222070814,14.701039039349242,47.78976534222158
